FusionGID,FusionGene,Hgene,HGID,Tgene,TGID
hg55582tg29979,KIF27-UBQLN1,KIF27,55582,UBQLN1,29979
hg3796tg171019,KIF2A-ADAMTS19,KIF2A,3796,ADAMTS19,171019
hg3796tg51194,KIF2A-IPO11,KIF2A,3796,IPO11,51194
hg3796tg285671,KIF2A-RNF180,KIF2A,3796,RNF180,285671
hg11004tg339541,KIF2C-C1orf228,KIF2C,11004,C1orf228,339541
hg9371tg3055,KIF3B-HCK,KIF3B,9371,HCK,3055
hg9371tg152579,KIF3B-SCFD2,KIF3B,9371,SCFD2,152579
hg3797tg109,KIF3C-ADCY3,KIF3C,3797,ADCY3,109
hg3797tg64080,KIF3C-RBKS,KIF3C,3797,RBKS,64080
hg3797tg54221,KIF3C-SNTG2,KIF3C,3797,SNTG2,54221
hg3797tg6723,KIF3C-SRM,KIF3C,3797,SRM,6723
hg3798tg1840,KIF5A-DTX1,KIF5A,3798,DTX1,1840
hg3798tg91419,KIF5A-XRCC6BP1,KIF5A,3798,XRCC6BP1,91419
hg3799tg238,KIF5B-ALK,KIF5B,3799,ALK,238
hg3799tg80314,KIF5B-EPC1,KIF5B,3799,EPC1,80314
hg3799tg55733,KIF5B-HHAT,KIF5B,3799,HHAT,55733
hg3799tg89781,KIF5B-HPS4,KIF5B,3799,HPS4,89781
hg3799tg4233,KIF5B-MET,KIF5B,3799,MET,4233
hg3799tg5979,KIF5B-RET,KIF5B,3799,RET,5979
hg3799tg6935,KIF5B-ZEB1,KIF5B,3799,ZEB1,6935
hg3800tg7273,KIF5C-TTN,KIF5C,3800,TTN,7273
hg22920tg1314,KIFAP3-COPA,KIFAP3,22920,COPA,1314
hg22920tg338599,KIFAP3-DUSP27,KIFAP3,22920,DUSP27,338599
hg22920tg84966,KIFAP3-IGSF21,KIFAP3,22920,IGSF21,84966
hg3801tg1258,KIFC3-CNGB1,KIFC3,3801,CNGB1,1258
hg22944tg80760,KIN-ITIH5,KIN,22944,ITIH5,80760
hg55243tg962,KIRREL-CD48,KIRREL,55243,CD48,962
hg55243tg2274,KIRREL-FHL2,KIRREL,55243,FHL2,2274
hg55243tg84066,KIRREL-TEX35,KIRREL,55243,TEX35,84066
hg3815tg79982,KIT-DNAJB14,KIT,3815,DNAJB14,79982
hg3815tg84525,KIT-HOPX,KIT,3815,HOPX,84525
hg4254tg338596,KITLG-ST8SIA6,KITLG,4254,ST8SIA6,338596
hg4254tg7134,KITLG-TNNC1,KITLG,4254,TNNC1,7134
hg3831tg695,KLC1-BTK,KLC1,3831,BTK,695
hg3831tg4140,KLC1-MARK3,KLC1,3831,MARK3,4140
hg11278tg818,KLF12-CAMK2G,KLF12,11278,CAMK2G,818
hg11278tg170622,KLF12-COMMD6,KLF12,11278,COMMD6,170622
hg11278tg10464,KLF12-PIBF1,KLF12,11278,PIBF1,10464
hg28999tg25890,KLF15-ABI3BP,KLF15,28999,ABI3BP,25890
hg51274tg152579,KLF3-SCFD2,KLF3,51274,SCFD2,152579
hg688tg10464,KLF5-PIBF1,KLF5,688,PIBF1,10464
hg688tg147798,KLF5-TMC4,KLF5,688,TMC4,147798
hg8609tg389072,KLF7-PLEKHM3,KLF7,8609,PLEKHM3,389072
hg687tg80020,KLF9-FOXRED2,KLF9,687,FOXRED2,80020
hg23008tg100132406,KLHDC10-NBPF10,KLHDC10,23008,NBPF10,100132406
hg23008tg55848,KLHDC10-PLGRKT,KLHDC10,23008,PLGRKT,55848
hg116138tg116138,KLHDC3-KLHDC3,KLHDC3,116138,KLHDC3,116138
hg54758tg8140,KLHDC4-SLC7A5,KLHDC4,54758,SLC7A5,8140
hg54758tg6687,KLHDC4-SPG7,KLHDC4,54758,SPG7,6687
hg57565tg374864,KLHL14-CCDC178,KLHL14,57565,CCDC178,374864
hg23276tg23225,KLHL18-NUP210,KLHL18,23276,NUP210,23225
hg23276tg90522,KLHL18-YIF1B,KLHL18,23276,YIF1B,90522
hg11275tg8874,KLHL2-ARHGEF7,KLHL2,11275,ARHGEF7,8874
hg11275tg1363,KLHL2-CPE,KLHL2,11275,CPE,1363
hg11275tg442117,KLHL2-GALNTL6,KLHL2,11275,GALNTL6,442117
hg11275tg64645,KLHL2-HIAT1,KLHL2,11275,HIAT1,64645
hg9903tg3604,KLHL21-TNFRSF9,KLHL21,9903,TNFRSF9,3604
hg84861tg23258,KLHL22-DENND5A,KLHL22,84861,DENND5A,23258
hg84861tg25758,KLHL22-KIAA1549L,KLHL22,84861,KIAA1549L,25758
hg84861tg5905,KLHL22-RANGAP1,KLHL22,84861,RANGAP1,5905
hg84861tg7625,KLHL22-ZNF74,KLHL22,84861,ZNF74,7625
hg54800tg23200,KLHL24-ATP11B,KLHL24,54800,ATP11B,23200
hg54800tg84902,KLHL24-CEP89,KLHL24,54800,CEP89,84902
hg54800tg64844,KLHL24-MARCH7,KLHL24,54800,MARCH7,64844
hg55295tg4179,KLHL26-CD46,KLHL26,55295,CD46,4179
hg55295tg79036,KLHL26-KXD1,KLHL26,55295,KXD1,79036
hg55295tg54858,KLHL26-PGPEP1,KLHL26,55295,PGPEP1,54858
hg54813tg23116,KLHL28-FAM179B,KLHL28,54813,FAM179B,23116
hg26249tg89927,KLHL3-C16orf45,KLHL3,26249,C16orf45,89927
hg114792tg6091,KLHL32-ROBO1,KLHL32,114792,ROBO1,6091
hg57542tg60488,KLHL42-MRPS35,KLHL42,57542,MRPS35,60488
hg55975tg673,KLHL7-BRAF,KLHL7,55975,BRAF,673
hg3817tg22948,KLK2-CCT5,KLK2,3817,CCT5,22948
hg3817tg2115,KLK2-ETV1,KLK2,3817,ETV1,2115
hg3817tg23521,KLK2-RPL13A,KLK2,3817,RPL13A,23521
hg354tg23580,KLK3-CDC42EP4,KLK3,354,CDC42EP4,23580
hg354tg3326,KLK3-HSP90AB1,KLK3,354,HSP90AB1,3326
hg354tg6175,KLK3-RPLP0,KLK3,354,RPLP0,6175
hg354tg55362,KLK3-TMEM63B,KLK3,354,TMEM63B,55362
hg354tg339967,KLK3-TMPRSS11A,KLK3,354,TMPRSS11A,339967
hg9622tg146547,KLK4-PRSS36,KLK4,9622,PRSS36,146547
hg9622tg152485,KLK4-ZNF827,KLK4,9622,ZNF827,152485
hg11202tg147945,KLK8-NLRP4,KLK8,11202,NLRP4,147945
hg284366tg1990,KLK9-CELA1,KLK9,284366,CELA1,1990
hg3824tg79158,KLRD1-GNPTAB,KLRD1,3824,GNPTAB,79158
hg4297tg4299,KMT2A-AFF1,KMT2A,4297,AFF1,4299
hg4297tg3899,KMT2A-AFF3,KMT2A,4297,AFF3,3899
hg4297tg27125,KMT2A-AFF4,KMT2A,4297,AFF4,27125
hg4297tg643376,KMT2A-BTBD18,KMT2A,4297,BTBD18,643376
hg4297tg867,KMT2A-CBL,KMT2A,4297,CBL,867
hg4297tg153090,KMT2A-DAB2IP,KMT2A,4297,DAB2IP,153090
hg4297tg2033,KMT2A-EP300,KMT2A,4297,EP300,2033
hg4297tg2060,KMT2A-EPS15,KMT2A,4297,EPS15,2060
hg4297tg2309,KMT2A-FOXO3,KMT2A,4297,FOXO3,2309
hg4297tg285527,KMT2A-FRYL,KMT2A,4297,FRYL,285527
hg4297tg2534,KMT2A-FYN,KMT2A,4297,FYN,2534
hg4297tg3508,KMT2A-IGHMBP2,KMT2A,4297,IGHMBP2,3508
hg4297tg4297,KMT2A-KMT2A,KMT2A,4297,KMT2A,4297
hg4297tg3927,KMT2A-LASP1,KMT2A,4297,LASP1,3927
hg4297tg4298,KMT2A-MLLT1,KMT2A,4297,MLLT1,4298
hg4297tg8028,KMT2A-MLLT10,KMT2A,4297,MLLT10,8028
hg4297tg4300,KMT2A-MLLT3,KMT2A,4297,MLLT3,4300
hg4297tg51517,KMT2A-NCKIPSD,KMT2A,4297,NCKIPSD,51517
hg4297tg23244,KMT2A-PDS5A,KMT2A,4297,PDS5A,23244
hg4297tg8301,KMT2A-PICALM,KMT2A,4297,PICALM,8301
hg4297tg6455,KMT2A-SH3GL1,KMT2A,4297,SH3GL1,6455
hg4297tg8470,KMT2A-SORBS2,KMT2A,4297,SORBS2,8470
hg4297tg80312,KMT2A-TET1,KMT2A,4297,TET1,80312
hg4297tg55625,KMT2A-ZDHHC7,KMT2A,4297,ZDHHC7,55625
hg4297tg84936,KMT2A-ZFYVE19,KMT2A,4297,ZFYVE19,84936
hg58508tg83698,KMT2C-CALN1,KMT2C,58508,CALN1,83698
hg58508tg26047,KMT2C-CNTNAP2,KMT2C,58508,CNTNAP2,26047
hg58508tg168391,KMT2C-GALNTL5,KMT2C,58508,GALNTL5,168391
hg58508tg375612,KMT2C-LHFPL3,KMT2C,58508,LHFPL3,375612
hg58508tg29078,KMT2C-NDUFAF4,KMT2C,58508,NDUFAF4,29078
hg58508tg6009,KMT2C-RHEB,KMT2C,58508,RHEB,6009
hg58508tg94122,KMT2C-SYTL5,KMT2C,58508,SYTL5,94122
hg8085tg9416,KMT2D-DDX23,KMT2D,8085,DDX23,9416
hg8085tg55716,KMT2D-LMBR1L,KMT2D,8085,LMBR1L,55716
hg55904tg142685,KMT2E-ASB15,KMT2E,55904,ASB15,142685
hg55904tg55904,KMT2E-KMT2E,KMT2E,55904,KMT2E,55904
hg55904tg375612,KMT2E-LHFPL3,KMT2E,55904,LHFPL3,375612
hg9735tg3839,KNTC1-KPNA3,KNTC1,9735,KPNA3,3839
hg9735tg22877,KNTC1-MLXIP,KNTC1,9735,MLXIP,22877
hg3836tg2017,KPNA1-CTTN,KPNA1,3836,CTTN,2017
hg3836tg83666,KPNA1-PARP9,KPNA1,3836,PARP9,83666
hg3836tg80012,KPNA1-PHC3,KPNA1,3836,PHC3,80012
hg3836tg27127,KPNA1-SMC1B,KPNA1,3836,SMC1B,27127
hg3839tg2247,KPNA3-FGF2,KPNA3,3839,FGF2,2247
hg3839tg2862,KPNA3-MLNR,KPNA3,3839,MLNR,2862
hg3839tg6541,KPNA3-SLC7A1,KPNA3,3839,SLC7A1,6541
hg3839tg57213,KPNA3-SPRYD7,KPNA3,3839,SPRYD7,57213
hg3839tg115825,KPNA3-WDFY2,KPNA3,3839,WDFY2,115825
hg3840tg302,KPNA4-ANXA2,KPNA4,3840,ANXA2,302
hg3840tg545,KPNA4-ATR,KPNA4,3840,ATR,545
hg23633tg8668,KPNA6-EIF3I,KPNA6,23633,EIF3I,8668
hg23633tg84440,KPNA6-RAB11FIP4,KPNA6,23633,RAB11FIP4,84440
hg23633tg10147,KPNA6-SUGP2,KPNA6,23633,SUGP2,10147
hg23633tg10293,KPNA6-TRAIP,KPNA6,23633,TRAIP,10293
hg23633tg51538,KPNA6-ZCCHC17,KPNA6,23633,ZCCHC17,51538
hg402569tg57154,KPNA7-SMURF1,KPNA7,402569,SMURF1,57154
hg3837tg8631,KPNB1-SKAP1,KPNB1,3837,SKAP1,8631
hg3845tg9847,KRAS-C2CD5,KRAS,3845,C2CD5,9847
hg3845tg55500,KRAS-ETNK1,KRAS,3845,ETNK1,55500
hg3845tg160492,KRAS-IFLTD1,KRAS,3845,IFLTD1,160492
hg3845tg144195,KRAS-SLC2A14,KRAS,3845,SLC2A14,144195
hg100506243tg729085,KRBOX1-FAM198A,KRBOX1,100506243,FAM198A,729085
hg83999tg150274,KREMEN1-HSCB,KREMEN1,83999,HSCB,150274
hg83999tg5594,KREMEN1-MAPK1,KREMEN1,83999,MAPK1,5594
hg83999tg84133,KREMEN1-ZNRF3,KREMEN1,83999,ZNRF3,84133
hg65095tg23295,KRI1-MGRN1,KRI1,65095,MGRN1,23295
hg889tg1021,KRIT1-CDK6,KRIT1,889,CDK6,1021
hg11103tg5128,KRR1-CDK17,KRR1,11103,CDK17,5128
hg3858tg23122,KRT10-CLASP2,KRT10,3858,CLASP2,23122
hg3860tg8906,KRT13-AP1G2,KRT13,3860,AP1G2,8906
hg3860tg84033,KRT13-OBSCN,KRT13,3860,OBSCN,84033
hg3861tg79791,KRT14-FBXO31,KRT14,3861,FBXO31,79791
hg3861tg2894,KRT14-GRID1,KRT14,3861,GRID1,2894
hg3861tg5371,KRT14-PML,KRT14,3861,PML,5371
hg3866tg57448,KRT15-BIRC6,KRT15,3866,BIRC6,57448
hg3866tg5764,KRT15-PTN,KRT15,3866,PTN,5764
hg3868tg22948,KRT16-CCT5,KRT16,3868,CCT5,22948
hg3868tg23303,KRT16-KIF13B,KRT16,3868,KIF13B,23303
hg3880tg1500,KRT19-CTNND1,KRT19,3880,CTNND1,1500
hg3880tg22806,KRT19-IKZF3,KRT19,3880,IKZF3,22806
hg3880tg5214,KRT19-PFKP,KRT19,3880,PFKP,5214
hg3880tg84951,KRT19-TNS4,KRT19,3880,TNS4,84951
hg3851tg6280,KRT4-S100A9,KRT4,3851,S100A9,6280
hg3852tg1832,KRT5-DSP,KRT5,3852,DSP,1832
hg3853tg643,KRT6A-CXCR5,KRT6A,3853,CXCR5,643
hg3853tg3500,KRT6A-IGHG1,KRT6A,3853,IGHG1,3500
hg3854tg6712,KRT6B-SPTBN2,KRT6B,3854,SPTBN2,6712
hg286887tg3315,KRT6C-HSPB1,KRT6C,286887,HSPB1,3315
hg3855tg8663,KRT7-EIF3C,KRT7,3855,EIF3C,8663
hg374454tg7431,KRT77-VIM,KRT77,374454,VIM,7431
hg8844tg654346,KSR1-LGALS9C,KSR1,8844,LGALS9C,654346
hg283455tg80184,KSR2-CEP290,KSR2,283455,CEP290,80184
hg3895tg22948,KTN1-CCT5,KTN1,3895,CCT5,22948
hg3895tg3895,KTN1-KTN1,KTN1,3895,KTN1,3895
hg3895tg103910,KTN1-MYL12B,KTN1,3895,MYL12B,103910
hg3895tg57161,KTN1-PELI2,KTN1,3895,PELI2,57161
hg3895tg5979,KTN1-RET,KTN1,3895,RET,5979
hg79036tg4625,KXD1-MYH7,KXD1,79036,MYH7,4625
hg8942tg8942,KYNU-KYNU,KYNU,8942,KYNU,8942
hg79944tg55788,L2HGDH-LMBRD1,L2HGDH,79944,LMBRD1,55788
hg79944tg11183,L2HGDH-MAP4K5,L2HGDH,79944,MAP4K5,11183
hg83746tg64800,L3MBTL2-EFCAB6,L3MBTL2,83746,EFCAB6,64800
hg83746tg4241,L3MBTL2-MFI2,L3MBTL2,83746,MFI2,4241
hg84456tg84456,L3MBTL3-L3MBTL3,L3MBTL3,84456,L3MBTL3,84456
hg91133tg753,L3MBTL4-LDLRAD4,L3MBTL4,91133,LDLRAD4,753
hg91133tg1787,L3MBTL4-TRDMT1,L3MBTL4,91133,TRDMT1,1787
hg246269tg84071,LACE1-ARMC2,LACE1,246269,ARMC2,84071
hg246269tg8724,LACE1-SNX3,LACE1,246269,SNX3,8724
hg246269tg221302,LACE1-ZUFSP,LACE1,246269,ZUFSP,221302
hg114294tg51762,LACTB-RAB8B,LACTB,114294,RAB8B,51762
hg51110tg9420,LACTB2-CYP7B1,LACTB2,51110,CYP7B1,9420
hg51110tg3709,LACTB2-ITPR2,LACTB2,51110,ITPR2,3709
hg3908tg2898,LAMA2-GRIK2,LAMA2,3908,GRIK2,2898
hg3908tg7381,LAMA2-UQCRB,LAMA2,3908,UQCRB,7381
hg3909tg91768,LAMA3-CABLES1,LAMA3,3909,CABLES1,91768
hg3909tg341947,LAMA3-COX8C,LAMA3,3909,COX8C,341947
hg3909tg80206,LAMA3-FHOD3,LAMA3,3909,FHOD3,80206
hg3909tg64762,LAMA3-GAREM,LAMA3,3909,GAREM,64762
hg3909tg2774,LAMA3-GNAL,LAMA3,3909,GNAL,2774
hg3909tg3909,LAMA3-LAMA3,LAMA3,3909,LAMA3,3909
hg3909tg5317,LAMA3-PKP1,LAMA3,3909,PKP1,5317
hg3909tg6632,LAMA3-SNRPD1,LAMA3,3909,SNRPD1,6632
hg3909tg6875,LAMA3-TAF4B,LAMA3,3909,TAF4B,6875
hg3910tg2534,LAMA4-FYN,LAMA4,3910,FYN,2534
hg3910tg5660,LAMA4-PSAP,LAMA4,3910,PSAP,5660
hg3911tg196446,LAMA5-MYRFL,LAMA5,3911,MYRFL,196446
hg3911tg140893,LAMA5-RBBP8NL,LAMA5,3911,RBBP8NL,140893
hg3911tg55905,LAMA5-RNF114,LAMA5,3911,RNF114,55905
hg3911tg11231,LAMA5-SEC63,LAMA5,3911,SEC63,11231
hg3912tg3839,LAMB1-KPNA3,LAMB1,3912,KPNA3,3839
hg3912tg4897,LAMB1-NRCAM,LAMB1,3912,NRCAM,4897
hg3912tg54625,LAMB1-PARP14,LAMB1,3912,PARP14,54625
hg3912tg54517,LAMB1-PUS7,LAMB1,3912,PUS7,54517
hg3913tg646498,LAMB2-C3orf84,LAMB2,3913,C3orf84,646498
hg3914tg259266,LAMB3-ASPM,LAMB3,3914,ASPM,259266
hg3914tg4664,LAMB3-NAB1,LAMB3,3914,NAB1,4664
hg3914tg10135,LAMB3-NAMPT,LAMB3,3914,NAMPT,10135
hg3915tg81544,LAMC1-GDPD5,LAMC1,3915,GDPD5,81544
hg10319tg8891,LAMC3-EIF2B3,LAMC3,10319,EIF2B3,8891
hg10319tg27031,LAMC3-NPHP3,LAMC3,10319,NPHP3,27031
hg3916tg8451,LAMP1-CUL4A,LAMP1,3916,CUL4A,8451
hg3916tg23263,LAMP1-MCF2L,LAMP1,3916,MCF2L,23263
hg3920tg203427,LAMP2-SLC25A43,LAMP2,3920,SLC25A43,203427
