pair_name,disease1_name,disease1_id,disease2_name,disease2_id,RR_score
liver_cirrhosis_biliary & myocardial_infarction,liver_cirrhosis_biliary,165,myocardial_infarction,198,94.433631
leukemia & leukemia_lymphocytic_chronic_b_cell,leukemia,154,leukemia_lymphocytic_chronic_b_cell,156,89.987621
exophthalmos & vascular_diseases,exophthalmos,100,vascular_diseases,295,85.321768
blood_platelet_disorders & hemorrhagic_disorders,blood_platelet_disorders,31,hemorrhagic_disorders,129,80.622136
spastic_paraplegia_hereditary & spinal_cord_diseases,spastic_paraplegia_hereditary,270,spinal_cord_diseases,271,76.740664
autoimmune_diseases & immunologic_deficiency_syndromes,autoimmune_diseases,21,immunologic_deficiency_syndromes,141,71.129537
nervous_system_diseases & vascular_diseases,nervous_system_diseases,211,vascular_diseases,295,70.362312
hereditary_sensory_and_motor_neuropathy & polyneuropathies,hereditary_sensory_and_motor_neuropathy,131,polyneuropathies,242,68.748694
charcot_marie_tooth_disease & polyneuropathies,charcot_marie_tooth_disease,60,polyneuropathies,242,68.748694
charcot_marie_tooth_disease & dwarfism,charcot_marie_tooth_disease,60,dwarfism,91,66.293384
dwarfism & hereditary_sensory_and_motor_neuropathy,dwarfism,91,hereditary_sensory_and_motor_neuropathy,131,66.293384
movement_disorders & neuroendocrine_tumors,movement_disorders,189,neuroendocrine_tumors,216,65.865472
autoimmune_diseases & polyneuropathies,autoimmune_diseases,21,polyneuropathies,242,62.774639
purine_pyrimidine_metabolism_inborn_errors & spinal_cord_diseases,purine_pyrimidine_metabolism_inborn_errors,249,spinal_cord_diseases,271,62.441161
celiac_disease & lysosomal_storage_diseases,celiac_disease,55,lysosomal_storage_diseases,175,56.758356
lysosomal_storage_diseases & malabsorption_syndromes,lysosomal_storage_diseases,175,malabsorption_syndromes,178,56.758356
amino_acid_metabolism_inborn_errors & purine_pyrimidine_metabolism_inborn_errors,amino_acid_metabolism_inborn_errors,7,purine_pyrimidine_metabolism_inborn_errors,249,55.752357
leukemia_b_cell & thyroid_diseases,leukemia_b_cell,155,thyroid_diseases,284,48.490933
behcet_syndrome & blood_platelet_disorders,behcet_syndrome,26,blood_platelet_disorders,31,47.548335
adrenal_gland_diseases & uveal_diseases,adrenal_gland_diseases,4,uveal_diseases,291,47.358834
leukemia & lymphoproliferative_disorders,leukemia,154,lymphoproliferative_disorders,174,47.160156
polyneuropathies & spinocerebellar_degenerations,polyneuropathies,242,spinocerebellar_degenerations,274,46.9509
basal_ganglia_diseases & parkinsonian_disorders,basal_ganglia_diseases,25,parkinsonian_disorders,235,46.538102
basal_ganglia_diseases & dyskinesias,basal_ganglia_diseases,25,dyskinesias,92,46.538102
arthritis_rheumatoid & stomatognathic_diseases,arthritis_rheumatoid,18,stomatognathic_diseases,279,46.307873
anemia_aplastic & precursor_cell_lymphoblastic_leukemia_lymphoma,anemia_aplastic,10,precursor_cell_lymphoblastic_leukemia_lymphoma,243,45.985522
muscular_dystrophies & peripheral_nervous_system_diseases,muscular_dystrophies,193,peripheral_nervous_system_diseases,239,43.519597
muscular_dystrophies & uveal_diseases,muscular_dystrophies,193,uveal_diseases,291,43.17144
anemia_aplastic & leukemia_myeloid_acute,anemia_aplastic,10,leukemia_myeloid_acute,159,42.767705
cardiomyopathies & cardiomyopathy_hypertrophic,cardiomyopathies,48,cardiomyopathy_hypertrophic,50,41.666667
autoimmune_diseases & lupus_erythematosus_systemic,autoimmune_diseases,21,lupus_erythematosus_systemic,170,41.508728
dyssomnias & muscular_dystrophies,dyssomnias,94,muscular_dystrophies,193,39.973556
leprosy & spinal_cord_diseases,leprosy,153,spinal_cord_diseases,271,39.578846
immunologic_deficiency_syndromes & mycobacterium_infections,immunologic_deficiency_syndromes,141,mycobacterium_infections,196,39.033881
motor_neuron_disease & polyneuropathies,motor_neuron_disease,187,polyneuropathies,242,38.282487
amyotrophic_lateral_sclerosis & polyneuropathies,amyotrophic_lateral_sclerosis,8,polyneuropathies,242,38.282487
leukemia & myeloproliferative_disorders,leukemia,154,myeloproliferative_disorders,197,37.650723
muscular_dystrophies & spinocerebellar_degenerations,muscular_dystrophies,193,spinocerebellar_degenerations,274,36.8357
dyskinesias & movement_disorders,dyskinesias,92,movement_disorders,189,36.266693
blood_platelet_disorders & leukemia,blood_platelet_disorders,31,leukemia,154,36.104913
craniofacial_abnormalities & spinal_cord_diseases,craniofacial_abnormalities,76,spinal_cord_diseases,271,36.003678
dyssomnias & respiratory_tract_diseases,dyssomnias,94,respiratory_tract_diseases,253,35.85119
amino_acid_metabolism_inborn_errors & leukemia_lymphocytic_chronic_b_cell,amino_acid_metabolism_inborn_errors,7,leukemia_lymphocytic_chronic_b_cell,156,35.810925
hair_diseases & ovarian_diseases,hair_diseases,122,ovarian_diseases,228,34.841641
behcet_syndrome & crohn_disease,behcet_syndrome,26,crohn_disease,77,34.397062
amino_acid_metabolism_inborn_errors & leukemia_b_cell,amino_acid_metabolism_inborn_errors,7,leukemia_b_cell,155,34.356386
autoimmune_diseases & vasculitis,autoimmune_diseases,21,vasculitis,296,33.108149
immunologic_deficiency_syndromes & polyneuropathies,immunologic_deficiency_syndromes,141,polyneuropathies,242,32.989481
behcet_syndrome & hair_diseases,behcet_syndrome,26,hair_diseases,122,32.700947
