pair_name,disease1_name,disease1_id,disease2_name,disease2_id,RR_score
arthritis_rheumatoid & spondylitis_ankylosing,arthritis_rheumatoid,18,spondylitis_ankylosing,278,1.719771
graves_disease & lupus_erythematosus_systemic,graves_disease,121,lupus_erythematosus_systemic,170,1.719475
anemia & bone_diseases,anemia,9,bone_diseases,34,1.719098
alzheimer_disease & intellectual_disability,alzheimer_disease,6,intellectual_disability,146,1.718695
adrenal_gland_diseases & liver_cirrhosis,adrenal_gland_diseases,4,liver_cirrhosis,164,1.718458
adrenal_gland_diseases & liver_cirrhosis_biliary,adrenal_gland_diseases,4,liver_cirrhosis_biliary,165,1.718458
aneurysm & gout,aneurysm,12,gout,119,1.717861
demyelinating_diseases & gastroenteritis,demyelinating_diseases,83,gastroenteritis,105,1.717805
goiter & intellectual_disability,goiter,117,intellectual_disability,146,1.71619
behcet_syndrome & hyperthyroidism,behcet_syndrome,26,hyperthyroidism,136,1.715987
bone_diseases_metabolic & hair_diseases,bone_diseases_metabolic,36,hair_diseases,122,1.715364
autoimmune_diseases & endocrine_system_diseases,autoimmune_diseases,21,endocrine_system_diseases,97,1.714762
autoimmune_diseases & psoriasis,autoimmune_diseases,21,psoriasis,248,1.714762
goiter & retinitis_pigmentosa,goiter,117,retinitis_pigmentosa,258,1.714472
endocrine_system_diseases & spinal_cord_diseases,endocrine_system_diseases,97,spinal_cord_diseases,271,1.713957
spinal_cord_diseases & thyroid_diseases,spinal_cord_diseases,271,thyroid_diseases,284,1.713957
cardiomegaly & respiratory_tract_diseases,cardiomegaly,47,respiratory_tract_diseases,253,1.713366
cardiovascular_diseases & lung_diseases_obstructive,cardiovascular_diseases,53,lung_diseases_obstructive,168,1.71316
carbohydrate_metabolism_inborn_errors & cardiomyopathies,carbohydrate_metabolism_inborn_errors,44,cardiomyopathies,48,1.712943
carbohydrate_metabolism_inborn_errors & cardiomyopathy_hypertrophic,carbohydrate_metabolism_inborn_errors,44,cardiomyopathy_hypertrophic,50,1.712943
demyelinating_diseases & rheumatic_diseases,demyelinating_diseases,83,rheumatic_diseases,259,1.712241
intestinal_neoplasms & stomatognathic_diseases,intestinal_neoplasms,148,stomatognathic_diseases,279,1.712189
anemia_aplastic & lung_diseases_obstructive,anemia_aplastic,10,lung_diseases_obstructive,168,1.711798
albuminuria & overweight,albuminuria,5,overweight,231,1.711451
overweight & proteinuria,overweight,231,proteinuria,246,1.711451
anemia & osteoporosis,anemia,9,osteoporosis,226,1.711125
glomerulonephritis & retinitis_pigmentosa,glomerulonephritis,115,retinitis_pigmentosa,258,1.710417
gastroenteritis & leukemia,gastroenteritis,105,leukemia,154,1.710388
glioma & head_and_neck_neoplasms,glioma,114,head_and_neck_neoplasms,123,1.709705
lupus_erythematosus_systemic & movement_disorders,lupus_erythematosus_systemic,170,movement_disorders,189,1.708697
basal_ganglia_diseases & leukemia_lymphocytic_chronic_b_cell,basal_ganglia_diseases,25,leukemia_lymphocytic_chronic_b_cell,156,1.708239
blood_coagulation_disorders & sleep_disorders,blood_coagulation_disorders,29,sleep_disorders,269,1.708055
blood_coagulation_disorders_inherited & sleep_disorders,blood_coagulation_disorders_inherited,30,sleep_disorders,269,1.708055
colorectal_neoplasms & sleep_disorders,colorectal_neoplasms,68,sleep_disorders,269,1.706831
rheumatic_diseases & stomatognathic_diseases,rheumatic_diseases,259,stomatognathic_diseases,279,1.706455
esophageal_diseases & hypotrichosis,esophageal_diseases,99,hypotrichosis,139,1.706446
carbohydrate_metabolism_inborn_errors & cardiovascular_diseases,carbohydrate_metabolism_inborn_errors,44,cardiovascular_diseases,53,1.706168
cerebellar_ataxia & glomerulonephritis,cerebellar_ataxia,57,glomerulonephritis,115,1.705909
celiac_disease & genital_diseases_female,celiac_disease,55,genital_diseases_female,110,1.705807
genital_diseases_female & malabsorption_syndromes,genital_diseases_female,110,malabsorption_syndromes,178,1.705807
lymphatic_diseases & nervous_system_diseases,lymphatic_diseases,171,nervous_system_diseases,211,1.704389
amyotrophic_lateral_sclerosis & lupus_erythematosus_systemic,amyotrophic_lateral_sclerosis,8,lupus_erythematosus_systemic,170,1.703286
lupus_erythematosus_systemic & motor_neuron_disease,lupus_erythematosus_systemic,170,motor_neuron_disease,187,1.703286
anemia_aplastic & coronary_disease,anemia_aplastic,10,coronary_disease,74,1.702532
cardiomyopathies & liver_cirrhosis,cardiomyopathies,48,liver_cirrhosis,164,1.702495
cardiomyopathies & liver_cirrhosis_biliary,cardiomyopathies,48,liver_cirrhosis_biliary,165,1.702495
cardiomyopathy_hypertrophic & liver_cirrhosis,cardiomyopathy_hypertrophic,50,liver_cirrhosis,164,1.702495
cardiomyopathy_hypertrophic & liver_cirrhosis_biliary,cardiomyopathy_hypertrophic,50,liver_cirrhosis_biliary,165,1.702495
blood_coagulation_disorders & crohn_disease,blood_coagulation_disorders,29,crohn_disease,77,1.702465
blood_coagulation_disorders_inherited & crohn_disease,blood_coagulation_disorders_inherited,30,crohn_disease,77,1.702465
celiac_disease & leprosy,celiac_disease,55,leprosy,153,1.700764
leprosy & malabsorption_syndromes,leprosy,153,malabsorption_syndromes,178,1.700764
dyskinesias & osteoporosis,dyskinesias,92,osteoporosis,226,1.699934
leukemia & varicose_veins,leukemia,154,varicose_veins,294,1.699227
basal_ganglia_diseases & hair_diseases,basal_ganglia_diseases,25,hair_diseases,122,1.699076
colorectal_neoplasms & hair_diseases,colorectal_neoplasms,68,hair_diseases,122,1.698797
cholestasis & lymphoma,cholestasis,61,lymphoma,172,1.698727
basal_ganglia_diseases & lysosomal_storage_diseases,basal_ganglia_diseases,25,lysosomal_storage_diseases,175,1.698471
amyotrophic_lateral_sclerosis & bone_diseases_metabolic,amyotrophic_lateral_sclerosis,8,bone_diseases_metabolic,36,1.698338
bone_diseases_metabolic & motor_neuron_disease,bone_diseases_metabolic,36,motor_neuron_disease,187,1.698338
anemia & bone_diseases_metabolic,anemia,9,bone_diseases_metabolic,36,1.698224
arthritis & myeloproliferative_disorders,arthritis,17,myeloproliferative_disorders,197,1.698101
hypopigmentation & intestinal_neoplasms,hypopigmentation,137,intestinal_neoplasms,148,1.697117
anemia & lupus_erythematosus_systemic,anemia,9,lupus_erythematosus_systemic,170,1.696984
epilepsy & retinitis_pigmentosa,epilepsy,98,retinitis_pigmentosa,258,1.694474
dyskinesias & muscular_diseases,dyskinesias,92,muscular_diseases,191,1.693603
basal_ganglia_diseases & hyperthyroidism,basal_ganglia_diseases,25,hyperthyroidism,136,1.693402
colitis_ulcerative & myeloproliferative_disorders,colitis_ulcerative,65,myeloproliferative_disorders,197,1.692131
macular_degeneration & spondylitis,macular_degeneration,177,spondylitis,277,1.692066
demyelinating_diseases & immune_system_diseases,demyelinating_diseases,83,immune_system_diseases,140,1.69064
endocrine_system_diseases & intellectual_disability,endocrine_system_diseases,97,intellectual_disability,146,1.690187
intellectual_disability & thyroid_diseases,intellectual_disability,146,thyroid_diseases,284,1.690187
endocrine_system_diseases & retinitis_pigmentosa,endocrine_system_diseases,97,retinitis_pigmentosa,258,1.688495
retinitis_pigmentosa & thyroid_diseases,retinitis_pigmentosa,258,thyroid_diseases,284,1.688495
dyskinesias & hemorrhagic_disorders,dyskinesias,92,hemorrhagic_disorders,129,1.68806
esophageal_diseases & osteoporosis,esophageal_diseases,99,osteoporosis,226,1.68759
bile_duct_diseases & spastic_paraplegia_hereditary,bile_duct_diseases,27,spastic_paraplegia_hereditary,270,1.687334
heart_defects_congenital & hypersensitivity,heart_defects_congenital,125,hypersensitivity,134,1.687152
anemia_hemolytic & hyperthyroidism,anemia_hemolytic,11,hyperthyroidism,136,1.687115
anemia_aplastic & bone_diseases,anemia_aplastic,10,bone_diseases,34,1.686893
blood_coagulation_disorders & leukemia_b_cell,blood_coagulation_disorders,29,leukemia_b_cell,155,1.686886
blood_coagulation_disorders_inherited & leukemia_b_cell,blood_coagulation_disorders_inherited,30,leukemia_b_cell,155,1.686886
bone_diseases_metabolic & endocrine_system_diseases,bone_diseases_metabolic,36,endocrine_system_diseases,97,1.686759
bone_diseases_metabolic & thyroid_diseases,bone_diseases_metabolic,36,thyroid_diseases,284,1.686759
dyskinesias & mycobacterium_infections,dyskinesias,92,mycobacterium_infections,196,1.686181
hair_diseases & spondylitis_ankylosing,hair_diseases,122,spondylitis_ankylosing,278,1.686009
charcot_marie_tooth_disease & lung_diseases_obstructive,charcot_marie_tooth_disease,60,lung_diseases_obstructive,168,1.686008
hereditary_sensory_and_motor_neuropathy & lung_diseases_obstructive,hereditary_sensory_and_motor_neuropathy,131,lung_diseases_obstructive,168,1.686008
glomerulonephritis & heart_defects_congenital,glomerulonephritis,115,heart_defects_congenital,125,1.685999
esophageal_diseases & retinitis_pigmentosa,esophageal_diseases,99,retinitis_pigmentosa,258,1.684784
blood_coagulation_disorders & cardiomegaly,blood_coagulation_disorders,29,cardiomegaly,47,1.684259
blood_coagulation_disorders_inherited & cardiomegaly,blood_coagulation_disorders_inherited,30,cardiomegaly,47,1.684259
hyperthyroidism & precursor_cell_lymphoblastic_leukemia_lymphoma,hyperthyroidism,136,precursor_cell_lymphoblastic_leukemia_lymphoma,243,1.684245
anemia & dwarfism,anemia,9,dwarfism,91,1.68365
bone_diseases_metabolic & esophageal_diseases,bone_diseases_metabolic,36,esophageal_diseases,99,1.683618
goiter & metabolism_inborn_errors,goiter,117,metabolism_inborn_errors,184,1.682878
anemia_hemolytic & arthritis_rheumatoid,anemia_hemolytic,11,arthritis_rheumatoid,18,1.681967
death_sudden & myocardial_ischemia,death_sudden,79,myocardial_ischemia,199,1.68063
coronary_artery_disease & death_sudden,coronary_artery_disease,73,death_sudden,79,1.680603
charcot_marie_tooth_disease & parkinsonian_disorders,charcot_marie_tooth_disease,60,parkinsonian_disorders,235,1.6803
hereditary_sensory_and_motor_neuropathy & parkinsonian_disorders,hereditary_sensory_and_motor_neuropathy,131,parkinsonian_disorders,235,1.6803
metal_metabolism_inborn_errors & sleep_disorders,metal_metabolism_inborn_errors,185,sleep_disorders,269,1.679633
basal_ganglia_diseases & hypopigmentation,basal_ganglia_diseases,25,hypopigmentation,137,1.679632
macular_degeneration & spondylarthropathies,macular_degeneration,177,spondylarthropathies,276,1.679235
amyotrophic_lateral_sclerosis & celiac_disease,amyotrophic_lateral_sclerosis,8,celiac_disease,55,1.678895
amyotrophic_lateral_sclerosis & malabsorption_syndromes,amyotrophic_lateral_sclerosis,8,malabsorption_syndromes,178,1.678895
celiac_disease & motor_neuron_disease,celiac_disease,55,motor_neuron_disease,187,1.678895
malabsorption_syndromes & motor_neuron_disease,malabsorption_syndromes,178,motor_neuron_disease,187,1.678895
carbohydrate_metabolism_inborn_errors & cholestasis,carbohydrate_metabolism_inborn_errors,44,cholestasis,61,1.678828
liver_cirrhosis & lymphatic_diseases,liver_cirrhosis,164,lymphatic_diseases,171,1.678126
liver_cirrhosis_biliary & lymphatic_diseases,liver_cirrhosis_biliary,165,lymphatic_diseases,171,1.678126
amino_acid_metabolism_inborn_errors & hyperthyroidism,amino_acid_metabolism_inborn_errors,7,hyperthyroidism,136,1.677895
hypopigmentation & osteoporosis,hypopigmentation,137,osteoporosis,226,1.677625
autoimmune_diseases & spinocerebellar_ataxias,autoimmune_diseases,21,spinocerebellar_ataxias,273,1.677304
arthritis & cardiomyopathies,arthritis,17,cardiomyopathies,48,1.677179
arthritis & cardiomyopathy_hypertrophic,arthritis,17,cardiomyopathy_hypertrophic,50,1.677179
albuminuria & esophageal_diseases,albuminuria,5,esophageal_diseases,99,1.67679
albuminuria & spondylitis_ankylosing,albuminuria,5,spondylitis_ankylosing,278,1.67679
esophageal_diseases & glioma,esophageal_diseases,99,glioma,114,1.67679
esophageal_diseases & proteinuria,esophageal_diseases,99,proteinuria,246,1.67679
glioma & spondylitis_ankylosing,glioma,114,spondylitis_ankylosing,278,1.67679
proteinuria & spondylitis_ankylosing,proteinuria,246,spondylitis_ankylosing,278,1.67679
colitis_ulcerative & liver_cirrhosis_biliary,colitis_ulcerative,65,liver_cirrhosis_biliary,165,1.676614
genital_diseases_female & hair_diseases,genital_diseases_female,110,hair_diseases,122,1.676543
glomerulonephritis & nervous_system_diseases,glomerulonephritis,115,nervous_system_diseases,211,1.675936
bone_diseases_metabolic & gastroenteritis,bone_diseases_metabolic,36,gastroenteritis,105,1.675785
death_sudden & macular_degeneration,death_sudden,79,macular_degeneration,177,1.675422
cranial_nerve_diseases & osteoporosis,cranial_nerve_diseases,75,osteoporosis,226,1.67492
cerebellar_ataxia & lupus_erythematosus_systemic,cerebellar_ataxia,57,lupus_erythematosus_systemic,170,1.674728
bone_diseases_metabolic & goiter,bone_diseases_metabolic,36,goiter,117,1.674649
carbohydrate_metabolism_inborn_errors & psoriasis,carbohydrate_metabolism_inborn_errors,44,psoriasis,248,1.674145
ectodermal_dysplasia & lipid_metabolism_disorders,ectodermal_dysplasia,95,lipid_metabolism_disorders,161,1.673859
asthma & hyperthyroidism,asthma,19,hyperthyroidism,136,1.673759
muscular_diseases & pancreatic_diseases,muscular_diseases,191,pancreatic_diseases,232,1.673646
bone_diseases_metabolic & graves_disease,bone_diseases_metabolic,36,graves_disease,121,1.67274
asthma & bone_diseases_metabolic,asthma,19,bone_diseases_metabolic,36,1.671926
anemia & vascular_diseases,anemia,9,vascular_diseases,295,1.671884
carbohydrate_metabolism_inborn_errors & spondylitis_ankylosing,carbohydrate_metabolism_inborn_errors,44,spondylitis_ankylosing,278,1.670575
blood_coagulation_disorders & neoplasms_connective_and_soft_tissue,blood_coagulation_disorders,29,neoplasms_connective_and_soft_tissue,203,1.668288
blood_coagulation_disorders_inherited & neoplasms_connective_and_soft_tissue,blood_coagulation_disorders_inherited,30,neoplasms_connective_and_soft_tissue,203,1.668288
macular_degeneration & muscular_diseases,macular_degeneration,177,muscular_diseases,191,1.667872
cardiovascular_diseases & epilepsy,cardiovascular_diseases,53,epilepsy,98,1.667761
joint_diseases & uveal_diseases,joint_diseases,149,uveal_diseases,291,1.667208
asthma & rheumatic_diseases,asthma,19,rheumatic_diseases,259,1.666808
lymphoma & rheumatic_diseases,lymphoma,172,rheumatic_diseases,259,1.666808
anemia_hemolytic & exophthalmos,anemia_hemolytic,11,exophthalmos,100,1.666755
esophageal_diseases & stomatognathic_diseases,esophageal_diseases,99,stomatognathic_diseases,279,1.666466
cardiomyopathies & metal_metabolism_inborn_errors,cardiomyopathies,48,metal_metabolism_inborn_errors,185,1.666091
cardiomyopathy_hypertrophic & metal_metabolism_inborn_errors,cardiomyopathy_hypertrophic,50,metal_metabolism_inborn_errors,185,1.666091
blood_platelet_disorders & spinocerebellar_ataxias,blood_platelet_disorders,31,spinocerebellar_ataxias,273,1.665721
bone_diseases_metabolic & neoplasms,bone_diseases_metabolic,36,neoplasms,200,1.665436
blood_platelet_disorders & hair_diseases,blood_platelet_disorders,31,hair_diseases,122,1.665391
dwarfism & esophageal_diseases,dwarfism,91,esophageal_diseases,99,1.664987
basal_ganglia_diseases & spondylarthropathies,basal_ganglia_diseases,25,spondylarthropathies,276,1.664912
movement_disorders & myeloproliferative_disorders,movement_disorders,189,myeloproliferative_disorders,197,1.664745
colorectal_neoplasms & precursor_cell_lymphoblastic_leukemia_lymphoma,colorectal_neoplasms,68,precursor_cell_lymphoblastic_leukemia_lymphoma,243,1.664595
anemia_aplastic & gout,anemia_aplastic,10,gout,119,1.664368
adrenal_gland_diseases & genital_diseases_female,adrenal_gland_diseases,4,genital_diseases_female,110,1.664283
blood_coagulation_disorders & pancreatic_diseases,blood_coagulation_disorders,29,pancreatic_diseases,232,1.664177
blood_coagulation_disorders_inherited & pancreatic_diseases,blood_coagulation_disorders_inherited,30,pancreatic_diseases,232,1.664177
cranial_nerve_diseases & retinitis_pigmentosa,cranial_nerve_diseases,75,retinitis_pigmentosa,258,1.663464
joint_diseases & spinal_cord_diseases,joint_diseases,149,spinal_cord_diseases,271,1.663386
cardiomegaly & graves_disease,cardiomegaly,47,graves_disease,121,1.663302
carbohydrate_metabolism_inborn_errors & goiter,carbohydrate_metabolism_inborn_errors,44,goiter,117,1.661905
cardiovascular_diseases & osteoporosis,cardiovascular_diseases,53,osteoporosis,226,1.661407
lymphatic_diseases & muscular_diseases,lymphatic_diseases,171,muscular_diseases,191,1.660448
muscular_diseases & varicose_veins,muscular_diseases,191,varicose_veins,294,1.660406
bone_diseases & cardiovascular_diseases,bone_diseases,34,cardiovascular_diseases,53,1.660276
albuminuria & ovarian_diseases,albuminuria,5,ovarian_diseases,228,1.660041
ovarian_diseases & proteinuria,ovarian_diseases,228,proteinuria,246,1.660041
basal_ganglia_diseases & spondylitis,basal_ganglia_diseases,25,spondylitis,277,1.659984
anemia_aplastic & craniofacial_abnormalities,anemia_aplastic,10,craniofacial_abnormalities,76,1.65985
hypothalamic_diseases & malformations_of_cortical_development,hypothalamic_diseases,138,malformations_of_cortical_development,180,1.658489
amino_acid_metabolism_inborn_errors & spondylitis,amino_acid_metabolism_inborn_errors,7,spondylitis,277,1.658301
amyotrophic_lateral_sclerosis & esophageal_diseases,amyotrophic_lateral_sclerosis,8,esophageal_diseases,99,1.657757
esophageal_diseases & ovarian_diseases,esophageal_diseases,99,ovarian_diseases,228,1.65747
endocrine_system_diseases & metabolism_inborn_errors,endocrine_system_diseases,97,metabolism_inborn_errors,184,1.65738
metabolism_inborn_errors & thyroid_diseases,metabolism_inborn_errors,184,thyroid_diseases,284,1.65738
leukemia_lymphocytic_chronic_b_cell & ovarian_diseases,leukemia_lymphocytic_chronic_b_cell,156,ovarian_diseases,228,1.657048
blood_coagulation_disorders & hair_diseases,blood_coagulation_disorders,29,hair_diseases,122,1.656549
blood_coagulation_disorders_inherited & hair_diseases,blood_coagulation_disorders_inherited,30,hair_diseases,122,1.656549
celiac_disease & epilepsy,celiac_disease,55,epilepsy,98,1.656451
epilepsy & malabsorption_syndromes,epilepsy,98,malabsorption_syndromes,178,1.656451
cardiovascular_diseases & hypersensitivity,cardiovascular_diseases,53,hypersensitivity,134,1.656395
gastroenteritis & hypersensitivity,gastroenteritis,105,hypersensitivity,134,1.656133
leukemia & spinocerebellar_ataxias,leukemia,154,spinocerebellar_ataxias,273,1.655717
anemia_hemolytic & diabetes_mellitus_type_1,anemia_hemolytic,11,diabetes_mellitus_type_1,85,1.655623
carbohydrate_metabolism_inborn_errors & endocrine_system_diseases,carbohydrate_metabolism_inborn_errors,44,endocrine_system_diseases,97,1.655324
carbohydrate_metabolism_inborn_errors & thyroid_diseases,carbohydrate_metabolism_inborn_errors,44,thyroid_diseases,284,1.655324
crohn_disease & esophageal_diseases,crohn_disease,77,esophageal_diseases,99,1.654899
epilepsy & immune_system_diseases,epilepsy,98,immune_system_diseases,140,1.654632
blood_platelet_disorders & cardiomyopathies,blood_platelet_disorders,31,cardiomyopathies,48,1.654438
blood_platelet_disorders & cardiomyopathy_hypertrophic,blood_platelet_disorders,31,cardiomyopathy_hypertrophic,50,1.654438
osteoporosis & spinocerebellar_ataxias,osteoporosis,226,spinocerebellar_ataxias,273,1.653859
asthma & disorders_of_sex_development,asthma,19,disorders_of_sex_development,89,1.653322
amino_acid_metabolism_inborn_errors & spondylarthropathies,amino_acid_metabolism_inborn_errors,7,spondylarthropathies,276,1.652742
anemia & mycobacterium_infections,anemia,9,mycobacterium_infections,196,1.652731
hyperthyroidism & muscular_dystrophies,hyperthyroidism,136,muscular_dystrophies,193,1.652628
dyskinesias & gastroenteritis,dyskinesias,92,gastroenteritis,105,1.652051
glomerulonephritis & spondylitis_ankylosing,glomerulonephritis,115,spondylitis_ankylosing,278,1.652049
arthritis & sleep_disorders,arthritis,17,sleep_disorders,269,1.651392
immune_system_diseases & psoriasis,immune_system_diseases,140,psoriasis,248,1.651367
anemia & spondylitis_ankylosing,anemia,9,spondylitis_ankylosing,278,1.650137
demyelinating_diseases & hypothalamic_diseases,demyelinating_diseases,83,hypothalamic_diseases,138,1.649854
hypothalamic_diseases & multiple_sclerosis,hypothalamic_diseases,138,multiple_sclerosis,190,1.649854
epilepsy & respiratory_tract_diseases,epilepsy,98,respiratory_tract_diseases,253,1.649626
immunologic_deficiency_syndromes & spondylitis,immunologic_deficiency_syndromes,141,spondylitis,277,1.6493
gastroenteritis & peripheral_nervous_system_diseases,gastroenteritis,105,peripheral_nervous_system_diseases,239,1.648848
basal_ganglia_diseases & hypothalamic_diseases,basal_ganglia_diseases,25,hypothalamic_diseases,138,1.648271
asthma & stomatognathic_diseases,asthma,19,stomatognathic_diseases,279,1.647448
heart_arrest & precursor_cell_lymphoblastic_leukemia_lymphoma,heart_arrest,124,precursor_cell_lymphoblastic_leukemia_lymphoma,243,1.647101
colitis_ulcerative & metal_metabolism_inborn_errors,colitis_ulcerative,65,metal_metabolism_inborn_errors,185,1.646805
arterial_occlusive_diseases & leprosy,arterial_occlusive_diseases,15,leprosy,153,1.646611
anemia_hemolytic & endocrine_system_diseases,anemia_hemolytic,11,endocrine_system_diseases,97,1.645342
anemia_hemolytic & thyroid_diseases,anemia_hemolytic,11,thyroid_diseases,284,1.645342
arterial_occlusive_diseases & vasculitis,arterial_occlusive_diseases,15,vasculitis,296,1.645196
ankylosis & spondylarthropathies,ankylosis,13,spondylarthropathies,276,1.645071
ankylosis & spondylitis,ankylosis,13,spondylitis,277,1.645071
bone_diseases & lipidoses,bone_diseases,34,lipidoses,163,1.64455
cardiomegaly & hypersensitivity,cardiomegaly,47,hypersensitivity,134,1.644394
goiter & joint_diseases,goiter,117,joint_diseases,149,1.644259
blood_platelet_disorders & genital_diseases_male,blood_platelet_disorders,31,genital_diseases_male,111,1.643879
lymphatic_diseases & neoplasms,lymphatic_diseases,171,neoplasms,200,1.642681
alzheimer_disease & bone_diseases_metabolic,alzheimer_disease,6,bone_diseases_metabolic,36,1.642244
esophageal_diseases & hypersensitivity,esophageal_diseases,99,hypersensitivity,134,1.642101
bile_duct_diseases & craniofacial_abnormalities,bile_duct_diseases,27,craniofacial_abnormalities,76,1.6419
arterial_occlusive_diseases & dwarfism,arterial_occlusive_diseases,15,dwarfism,91,1.641441
hypothalamic_diseases & leukemia_b_cell,hypothalamic_diseases,138,leukemia_b_cell,155,1.639342
amino_acid_metabolism_inborn_errors & cranial_nerve_diseases,amino_acid_metabolism_inborn_errors,7,cranial_nerve_diseases,75,1.638769
endocrine_system_diseases & joint_diseases,endocrine_system_diseases,97,joint_diseases,149,1.63827
joint_diseases & thyroid_diseases,joint_diseases,149,thyroid_diseases,284,1.63827
blood_coagulation_disorders & myocardial_ischemia,blood_coagulation_disorders,29,myocardial_ischemia,199,1.638186
blood_coagulation_disorders_inherited & myocardial_ischemia,blood_coagulation_disorders_inherited,30,myocardial_ischemia,199,1.638186
blood_coagulation_disorders & myocardial_infarction,blood_coagulation_disorders,29,myocardial_infarction,198,1.638186
blood_coagulation_disorders_inherited & myocardial_infarction,blood_coagulation_disorders_inherited,30,myocardial_infarction,198,1.638186
blood_coagulation_disorders & coronary_artery_disease,blood_coagulation_disorders,29,coronary_artery_disease,73,1.63816
blood_coagulation_disorders_inherited & coronary_artery_disease,blood_coagulation_disorders_inherited,30,coronary_artery_disease,73,1.63816
myeloproliferative_disorders & psoriasis,myeloproliferative_disorders,197,psoriasis,248,1.638004
lung_diseases_obstructive & spondylitis_ankylosing,lung_diseases_obstructive,168,spondylitis_ankylosing,278,1.637879
anemia_aplastic & prostatic_neoplasms,anemia_aplastic,10,prostatic_neoplasms,245,1.634981
leukemia_myeloid_acute & spinal_cord_diseases,leukemia_myeloid_acute,159,spinal_cord_diseases,271,1.634888
hair_diseases & liver_cirrhosis,hair_diseases,122,liver_cirrhosis,164,1.634791
hair_diseases & liver_cirrhosis_biliary,hair_diseases,122,liver_cirrhosis_biliary,165,1.634791
bile_duct_diseases & lipidoses,bile_duct_diseases,27,lipidoses,163,1.634745
anemia_hemolytic & spinal_cord_diseases,anemia_hemolytic,11,spinal_cord_diseases,271,1.634727
bone_diseases & intellectual_disability,bone_diseases,34,intellectual_disability,146,1.634366
coronary_disease & ovarian_neoplasms,coronary_disease,74,ovarian_neoplasms,229,1.634341
anemia_hemolytic & psoriasis,anemia_hemolytic,11,psoriasis,248,1.634053
arthritis_rheumatoid & malabsorption_syndromes,arthritis_rheumatoid,18,malabsorption_syndromes,178,1.633258
lung_diseases_obstructive & malabsorption_syndromes,lung_diseases_obstructive,168,malabsorption_syndromes,178,1.633258
asthma & psoriasis,asthma,19,psoriasis,248,1.633126
arthritis & retinitis_pigmentosa,arthritis,17,retinitis_pigmentosa,258,1.632631
autoimmune_diseases & colorectal_neoplasms,autoimmune_diseases,21,colorectal_neoplasms,68,1.632282
amino_acid_metabolism_inborn_errors & diabetes_mellitus_type_1,amino_acid_metabolism_inborn_errors,7,diabetes_mellitus_type_1,85,1.632246
arterial_occlusive_diseases & cardiomegaly,arterial_occlusive_diseases,15,cardiomegaly,47,1.631686
arterial_occlusive_diseases & lipidoses,arterial_occlusive_diseases,15,lipidoses,163,1.631556
carcinoma_renal_cell & genital_diseases_male,carcinoma_renal_cell,46,genital_diseases_male,111,1.631546
colorectal_neoplasms & gastroenteritis,colorectal_neoplasms,68,gastroenteritis,105,1.631472
arthritis_rheumatoid & varicose_veins,arthritis_rheumatoid,18,varicose_veins,294,1.631258
cerebellar_ataxia & vasculitis,cerebellar_ataxia,57,vasculitis,296,1.630316
blood_coagulation_disorders & colitis_ulcerative,blood_coagulation_disorders,29,colitis_ulcerative,65,1.629895
blood_coagulation_disorders_inherited & colitis_ulcerative,blood_coagulation_disorders_inherited,30,colitis_ulcerative,65,1.629895
asthma & metabolism_inborn_errors,asthma,19,metabolism_inborn_errors,184,1.629761
bile_duct_diseases & esophageal_diseases,bile_duct_diseases,27,esophageal_diseases,99,1.629718
ovarian_diseases & pancreatic_diseases,ovarian_diseases,228,pancreatic_diseases,232,1.629356
arthritis_rheumatoid & nervous_system_diseases,arthritis_rheumatoid,18,nervous_system_diseases,211,1.629032
immunologic_deficiency_syndromes & spondylarthropathies,immunologic_deficiency_syndromes,141,spondylarthropathies,276,1.628961
cardiomyopathies & respiratory_tract_diseases,cardiomyopathies,48,respiratory_tract_diseases,253,1.628816
cardiomyopathy_hypertrophic & respiratory_tract_diseases,cardiomyopathy_hypertrophic,50,respiratory_tract_diseases,253,1.628816
demyelinating_diseases & sleep_disorders,demyelinating_diseases,83,sleep_disorders,269,1.628476
multiple_sclerosis & sleep_disorders,multiple_sclerosis,190,sleep_disorders,269,1.628476
dementia & hyperthyroidism,dementia,81,hyperthyroidism,136,1.627975
anemia_aplastic & crohn_disease,anemia_aplastic,10,crohn_disease,77,1.627913
breast_diseases & neoplasms_germ_cell_and_embryonal,breast_diseases,41,neoplasms_germ_cell_and_embryonal,205,1.627898
arthritis_rheumatoid & ovarian_diseases,arthritis_rheumatoid,18,ovarian_diseases,228,1.627806
anemia_aplastic & cardiomyopathies,anemia_aplastic,10,cardiomyopathies,48,1.627705
anemia_aplastic & cardiomyopathy_hypertrophic,anemia_aplastic,10,cardiomyopathy_hypertrophic,50,1.627705
osteoporosis & stomatognathic_diseases,osteoporosis,226,stomatognathic_diseases,279,1.627427
cholestasis & crohn_disease,cholestasis,61,crohn_disease,77,1.626846
bone_diseases & dementia,bone_diseases,34,dementia,81,1.626623
bone_diseases & lymphatic_diseases,bone_diseases,34,lymphatic_diseases,171,1.626082
joint_diseases & leukemia,joint_diseases,149,leukemia,154,1.626037
colitis_ulcerative & sleep_disorders,colitis_ulcerative,65,sleep_disorders,269,1.625807
leukemia_b_cell & uveitis,leukemia_b_cell,155,uveitis,292,1.625449
arrhythmias_cardiac & cardiovascular_diseases,arrhythmias_cardiac,14,cardiovascular_diseases,53,1.625141
cardiomegaly & hypotrichosis,cardiomegaly,47,hypotrichosis,139,1.624625
